t,average_score
819,101.9414589870959
820,103.00142700545015
821,104.66191387333616
822,105.30397815894693
823,106.83155693672298
824,108.36235992317103
825,107.32086716033122
826,104.58187911680717
827,103.11535557789583
828,103.83049354682389
829,102.12089776706055
830,101.89984189824298
831,102.26145260971353
832,99.74662676579206
833,99.8073557962344
834,101.46179511855307
835,105.29217667006331
836,103.89709561944112
837,103.12681662476048
838,105.34947179582839
839,105.95236443138752
840,104.04504019075495
841,101.79805109556622
842,103.81681515131037
843,106.77003855085366
844,104.62633360105697
845,105.4915885607418
846,107.26507296048553
847,108.01493671257714
848,108.11999853717498
849,108.63381517122838
850,107.99738207034535
851,107.73364945916963
852,105.16706098402132
853,104.15430111029245
854,103.95037255826375
855,103.67554612076283
856,101.18641639972236
857,98.84613652936417
858,101.78701763426314
859,102.70527979938504
860,100.55118882098705
861,97.52870459559554
862,95.21711793724695
863,92.97744898811581
864,93.69541848756997
865,95.49579008042716
866,96.75782761076427
867,94.29855638544403
868,95.89931947454235
869,96.3402631570293
870,96.42045926638546
871,96.70526606784252
872,95.48492965119956
873,92.9549033302866
874,90.10350900236931
875,88.34725506299793
876,86.27210165550748
877,84.09953919173951
878,84.5702015799216
879,83.07706816125554
880,83.9394617567457
881,84.48336622256458
882,82.21427529737352
883,82.8762005164362
884,83.09936154977503
885,82.3697378593482
886,83.69903593615213
887,83.61190208686021
888,85.6292149226346
889,84.57725232014573
890,85.75310448060984
891,85.2482219347908
892,85.18433629462886
893,85.06014421204586
894,82.75391074840094
895,79.89059542698246
896,80.48561501475068
897,80.40149819528659
898,80.28924282765311
899,79.8109602896165
900,76.4215338452107
901,75.00746302445351
902,77.8955335272265
903,81.05479184556307
904,78.16298362719435
905,75.29615786671256
906,77.01991831829658
907,80.0624418351446
908,78.17884661872253
909,78.58098043486483
910,81.43808831159916
911,78.50879487047837
912,77.81692698987453
913,74.73664480225187
914,74.69432926619345
915,74.04836903535144
916,74.18164108659164
917,73.67159996148139
918,72.40863642638298
919,71.32870286293347
920,73.48017972475967
921,74.30228020456147
922,73.80558730537483
923,71.59196185260576
924,68.93327509002596
925,69.88798775436807
926,69.66444019984964
927,68.47099340919293
928,68.87040365754453
929,70.8801402413479
930,71.33706570761876
931,67.76086784535288
932,69.93893498389981
933,67.70905377501849
934,65.01915999753254
935,62.0097205359499
936,61.5838361790229
937,61.44947793103052
938,58.51586452473732
939,55.727778537405044
940,55.01167387806942
941,54.56622717305693
942,54.678112417707354
943,54.04068273283221
944,54.35783413099242
945,51.676008700901164
946,49.201999578163566
947,49.37026814984994
948,48.121712627333345
949,46.153779814604206
950,47.443963713296355
951,49.598338628070536
952,52.203393282953215
953,50.52565284894306
954,50.68669726643826
955,51.055345756315454
956,50.54880782106643
957,50.117064048653276
958,49.61663668246507
959,52.25004134350764
960,51.35101433207397
961,54.23640155108003
962,56.430002273222264
963,58.63883912015981
964,58.71163530855658
965,57.7423190731993
966,56.4432557655074
967,56.96636389190966
968,57.959457311385584
969,58.1307782149646
970,60.34352742998148
971,57.6177667282552
972,57.416137155979314
973,59.498073016683655
974,59.976401415969846
975,60.82939328439147
976,60.315180251287984
977,59.8391781788434
978,60.23175542437987
979,62.59502927255618
980,64.5822111243906
981,63.39714838069125
982,64.29106307597614
983,63.8400043468264
984,63.91101900902757
985,65.60811526537283
986,67.97307858931866
987,67.94838866066671
988,67.91355565272681
989,68.3323127365322
990,69.72423222974821
991,69.67842809060643
992,66.51871329933964
993,64.80362965489917
994,64.18066756587399
995,67.10444039778166
996,65.26427651528074
997,64.8206851314717
998,62.94316675688412
999,64.78854341550547
1000,64.97977907206803
1001,66.37327421830103
1002,65.39296781684466
1003,65.0576841118439
1004,65.35742344245226
1005,65.19269704951525
1006,62.799704866156226
1007,60.03606547146352
1008,59.591875573864634
1009,56.813338185911476
1010,53.75159426538643
1011,53.45531211140802
1012,53.91026379350619
1013,57.32593696081256
1014,57.41512424484687
1015,56.041967110130045
1016,55.48624435686474
1017,54.97142577816941
1018,55.99013081708782
1019,59.461877296663076
1020,59.567696545121024
1021,57.26897559759618
1022,57.98934016382339
1023,57.905736654722034
1024,59.61235499420029
1025,57.756877819035715
1026,57.66740600537923
1027,60.30220750704939
1028,62.332333865751714
1029,62.73904539028853
1030,62.29414521504636
1031,66.02162163199462
1032,66.47570470329205
1033,69.21815009502069
1034,69.24357305618551
1035,69.49634386681771
1036,69.67651500458294
1037,69.61755576932073
1038,69.42439768842857
1039,71.64092027024255
1040,71.6717786575107
1041,74.7048169968209
1042,74.07260906833179
1043,72.2706320399029
1044,71.63656677409105
1045,71.56731427408742
1046,75.11570142538437
1047,74.79163056431794
1048,73.06463510659515
1049,72.66557840008244
1050,69.64801012301234
1051,70.01999712378961
1052,67.11699289267717
1053,68.66402260389594
1054,68.6230930720224
1055,71.1503111323419
1056,71.35987496859475
1057,71.41006529894403
1058,71.81746287081101
1059,68.75506143034991
1060,71.75403180672123
1061,69.56234831032633
1062,69.09562921366545
1063,69.01190984079815
1064,69.10887848366933
1065,68.89670357087132
1066,68.33964512996212
1067,67.52108660128961
1068,66.84700759331382
1069,68.39734673525322
1070,66.46881153508382
1071,66.72942261038739
1072,67.87837795384976
1073,66.17684698452844
1074,65.76007673990485
1075,67.26394438738295
1076,67.63231795356926
1077,67.61632736064689
1078,70.04385489919704
1079,66.9781228202263
1080,66.90933325192147
1081,67.59525158120655
1082,69.82279656708143
1083,72.14861564218438
1084,72.0595349071005
1085,71.07672343965459
1086,68.61846378217204
1087,70.96271715442487
1088,68.58314524349647
1089,68.22037230617988
1090,65.84746876399947
1091,66.98163419695891
1092,68.96939937215046
1093,70.76910933485237
1094,72.63506409832506
1095,70.59583627229512
1096,70.38855929271399
1097,68.48735889100897
1098,67.5971396872422
1099,66.24485260819908
1100,68.09453686491493
1101,65.30660026969981
1102,63.59921673690237
1103,61.83463545934097
1104,61.59839433550395
1105,63.096471615385944
1106,63.82625235012152
1107,64.1935308432832
1108,64.23174883982001
1109,64.27450337961776
1110,66.8790318287551
1111,68.69957013565735
1112,69.12695738721685
1113,68.73125237602888
1114,69.17010133455427
1115,71.09195463213956
1116,71.99678878789251
1117,70.37669396311716
1118,71.81394393172427
1119,71.46945070310288
1120,69.49767569166681
1121,69.32788143019131
1122,66.32199550829937
1123,66.4823988203126
1124,64.46078773819764
1125,67.43038348906634
1126,68.17334809625366
1127,66.12619384154453
1128,65.81317980699278
1129,65.17907741865243
1130,65.46678603605805
1131,65.61383541067667
1132,63.05451692679332
1133,62.70011358750705
1134,64.94844856385757
1135,65.3462398068935
1136,65.69973734550499
1137,68.22808045745352
1138,68.05456116212024
1139,68.51357984840743
1140,71.38407082102096
1141,70.75948231497956
1142,68.43178080723064
1143,68.59132595122735
1144,68.63832042343803
1145,71.50306446153208
1146,70.97613841791211
1147,68.390231722918
1148,68.41186707857895
1149,70.86707001215728
1150,73.47408242734694
1151,73.78719376468231
1152,76.2060641054427
1153,76.71992391652684
1154,76.7719543769385
1155,73.83385331573298
1156,74.04222308252746
1157,76.72170891567751
1158,74.42407871957116
1159,77.28923709137462
1160,74.4014589581947
1161,74.40497167104692
1162,72.96810033602827
1163,70.35857254546352
1164,70.4894203801127
1165,70.12888649070189
1166,70.10403269523313
1167,71.51100130896587
1168,72.39200785643752
1169,69.67724129184354
1170,69.1217098934335
1171,71.85582722525298
1172,70.27939664704704
1173,72.81540388755467
1174,73.06999482201027
1175,72.7276392495237
1176,72.54342220006191
1177,72.48003201703014
1178,71.97320772801056
1179,72.13894304300094
1180,69.5471483518706
1181,72.04942149907876
1182,69.29606525142545
1183,67.24495141721798
1184,67.34121744088168
1185,69.54368299394882
1186,69.67283742149726
1187,66.77955471882396
1188,67.0462595339077
1189,67.42764972425289
1190,67.37872825401814
1191,69.33235584471619
1192,67.76975586537834
1193,65.2648830337232
1194,63.55943492748638
1195,62.99504021616141
1196,62.57929740954674
1197,62.69966432803766
1198,62.98020655100109
1199,62.286162680526246
1200,62.98006939835091
1201,62.854796645006346
1202,65.13594375138169
1203,67.67029072765102
1204,70.214178558758
1205,71.21492204813615
1206,70.89430308669473
1207,70.4864518089414
1208,73.22001755611329
1209,73.63647723269155
1210,70.72759319054289
1211,70.51590634627887
1212,69.92308652213478
1213,67.78710818353267
1214,70.1663437794487
1215,68.80493333186652
1216,70.23580058366097
1217,70.20340666834959
1218,67.14799492673286
1219,66.60071434216694
1220,69.01255912866615
1221,69.55798832726111
1222,72.73841337284631
1223,72.73275202164214
1224,74.58123907536864
1225,74.43932516751529
1226,73.56046320460756
1227,75.86574433987094
1228,73.54054193647616
1229,71.29115900132055
1230,73.57922615102032
1231,70.43056356949756
1232,72.76101983138584
1233,72.42225482129707
1234,72.58523205779623
1235,74.31661347898888
1236,75.89478680361826
1237,76.19329050468522
1238,79.3251579367759
1239,79.24733340579549
1240,75.93080468616785
1241,73.83654295321305
1242,75.9388154009933
1243,76.04048126417847
1244,78.65593509531189
1245,75.48918358974893
1246,73.53180186955498
1247,73.37820454222063
1248,75.4724104107218
1249,75.95130148471145
1250,75.41434532847381
1251,72.51930507486558
1252,69.95597211502628
1253,67.55732180653908
1254,67.3333801055542
1255,67.78757452073125
1256,70.23077190720804
1257,69.82496990442716
1258,72.06651464935314
1259,72.16602953624961
1260,72.49666400436531
1261,72.24333738424916
1262,72.08200472864799
1263,74.15931718867905
1264,75.66515458373262
1265,76.08454701587692
1266,79.05059784259696
1267,78.33135083857677
1268,75.69126739199685
1269,76.02515864978287
1270,75.78913993010566
1271,73.04214998295815
1272,75.55557146831673
1273,75.17150027620623
1274,77.70714269329203
1275,77.80671055478612
1276,80.4689117778479
1277,80.58853300668312
1278,77.93325197386905
1279,78.15552942538184
1280,78.00818696141592
1281,75.56609683386321
1282,76.00180768261711
1283,75.14802969684348
1284,74.05545211644045
1285,71.49554592944212
1286,71.11093537698848
1287,71.26725864017045
1288,70.60545384795097
1289,73.07191369842658
1290,72.24103793643057
1291,68.85466936438634
1292,68.98430122253936
1293,68.83616045681893
1294,70.7823041419117
